itemid,one-liner,year
001-223932,"['Refusal by the national authorities to insert the term “neutral” or\n', '“intersex”, instead of “male”, on the birth certificate of an\n', 'intersex person: no violation\n', 'Y v. France, no. 76888/17, 31 January 2023\n', 'Judgment | Legal summary\n']",2023
001-209373,"['6\u2003 \u2003 Key cases 2021\u2002 \u2002 Cases by Article\n', 'POSITIVE OBLIGATIONS (PROCEDURAL ASPECT)\n', 'Failure by authorities to enforce sex offender’s sentence following\n', 'grant and subsequent annulment of amnesty: violation\n', 'E.G. v. the Republic of Moldova, no. 37882/13, 13 April 2021\n', 'Judgment | Legal summary\n']",2021
001-233214,"['RESPECT FOR HOME\n', 'Searches of the person and house of a judge serving at the United\n', 'Nations International Residual Mechanism for Criminal Tribunals\n', 'despite his diplomatic immunity: violation\n', 'Aydın Sefa Akay v. Türkiye, no. 59/17, 23 April 2024\n', 'Judgment | Legal summary\n']",2024
001-181866,"['ARTICLE\xa015\n', 'DEROGATION IN TIME OF EMERGENCY\n', 'Aborted military coup attempt: derogation justified;\n', 'proportionality of interferences to be examined with merits\n', 'Şahin Alpay v. Turkey, no.\u202f16538/17, 20.3.2018\n', 'Judgment | Legal summary\n']",2018
001-234499,"['Applicant convicted for begging in a pedestrian street in\n', 'Copenhagen and sentenced to twenty days’\n', 'imprisonment: Article 8 inapplicable; inadmissible\n', 'Dian v. Denmark (dec.), no. 44002/22, 21 May 2024\n', 'Decision | Legal summary\n']",2024
001-204603,"['Failure to preventively confiscate gun from student whose internet\n', 'postings prior to committing school killings, while not containing specific\n', 'threats, cast doubt on his fitness to safely possess firearm: violation\n', 'Kotilainen and Others v. Finland, no. 62439/12, 17 September 2020\n', 'Judgment | Legal summary\n']",2020
001-206153,"['Risk of and availability of protection against ill-treatment of\n', 'a homosexual by non-State actors in Gambia insufficiently\n', 'assessed: deportation would constitute a violation\n', 'B and C v. Switzerland, nos. 43987/16 and 889/19, 17 November 2020\n', 'Judgment | Legal summary\n']",2020
001-187932,"['Key cases 2018\u2002 \u2002 Cases by Article\u2002 \u2002 Page 6\n', 'Article 6 § 3 (d)\n', 'EXAMINATION OF WITNESSES\n', 'Inability of defence in criminal proceedings to question witnesses: no violation\n', 'Murtazaliyeva v. Russia [GC], no. 36658/05, 18.12.2018\n', 'Judgment | Legal summary\n']",2018
001-228837,"['RESPECT FOR HOME\n', 'Unjustified search of journalists’ home and indiscriminate seizure\n', 'of their personal belongings: violation\n', 'Svetova and Others v. Russia, no. 54714/17, 24 January 2023\n', 'Judgment | Legal summary\n']",2023
001-200657,"['Unforeseeable lifting member of parliament’s immunity and pre-trial\n', 'detention on terrorist charges for political speeches: violation\n', 'Selahattin Demirtaş v. Turkey (no. 2) [GC], no. 14305/17, 22 December 2020\n', 'Judgment | Legal summary\n']",2020
001-203825,"['EFFECTIVE INVESTIGATION\n', 'Failure of authorities to react with special diligence in conducting a\n', 'thorough investigation following acid attack against a woman: violation\n', 'Tërshana v. Albania, no. 48756/14, 4 August 2020\n', 'Judgment | Legal summary\n']",2020
